Date-Time,Year,Month,Day,Data_Quality,Max_Temp ,Max_Temp_Flag,Min_Temp ,Min_Temp_Flag,Mean_Temp,Mean_Temp_Flag,Heat_Deg_Days,Heat_Deg_Days_Flag,Cool_Deg_Days,Cool_Deg_Days_Flag,Total_Rain,Total_Rain_Flag,Total_Snow,Total_Snow_Flag,Total_Precip,Total_Precip_Flag,Snow_on_Grnd,Snow_on_Grnd_Flag,Dir_of_Max_Gust,Dir_of_Max_Gust_Flag,Spd_of_Max_Gust,Spd_of_Max_Gust_Flag
1846-01-01,1846,1,1,,-1.7,,-12.2,,-7,,25,,0,,0,,0,,0,,,,,,,
1846-01-02,1846,1,2,,3.9,,-1.7,,1.1,,16.9,,0,,17.8,,0,,17.8,,,,,,,
1846-01-03,1846,1,3,,3.3,,-1.7,,0.8,,17.2,,0,,0,,1,,1,,,,,,,
1846-01-04,1846,1,4,,2.2,,-2.2,,0,,18,,0,,0,,0,,0,,,,,,,
1846-01-05,1846,1,5,,2.2,,-2.8,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
1846-01-06,1846,1,6,,2.2,,-5,,-1.4,,19.4,,0,,0,,0,,0,,,,,,,
1846-01-07,1846,1,7,,1.7,,-2.2,,-0.3,,18.3,,0,,10.7,,7.6,,18.3,,,,,,,
1846-01-08,1846,1,8,,2.2,,0.6,,1.4,,16.6,,0,,9.7,,0,,9.7,,,,,,,
1846-01-09,1846,1,9,,1.1,,-2.2,,-0.6,,18.6,,0,,0,,1,,1,,,,,,,
1846-01-10,1846,1,10,,-1.1,,-3.3,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
1846-01-11,1846,1,11,,0,,-4.4,,-2.2,,20.2,,0,,0,,0.5,,0.5,,,,,,,
1846-01-12,1846,1,12,,0.6,,-3.9,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
1846-01-13,1846,1,13,,-2.2,,-12.8,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
1846-01-14,1846,1,14,,-1.1,,-12.2,,-6.7,,24.7,,0,,0,,0.5,,0.5,,,,,,,
1846-01-15,1846,1,15,,1.7,,-7.8,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
1846-01-16,1846,1,16,,4.4,,-7.8,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
1846-01-17,1846,1,17,,0,,-11.7,,-5.9,,23.9,,0,,0,,0,,0,,,,,,,
1846-01-18,1846,1,18,,-10.6,,-18.3,,-14.5,,32.5,,0,,0,,0,,0,,,,,,,
1846-01-19,1846,1,19,,-6.1,,-17.2,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
1846-01-20,1846,1,20,,-7.8,,-14.4,,-11.1,,29.1,,0,,0,,0,,0,,,,,,,
1846-01-21,1846,1,21,,-3.9,,-12.2,,-8.1,,26.1,,0,,0,,0,,0,,,,,,,
1846-01-22,1846,1,22,,-2.2,,-17.2,,-9.7,,27.7,,0,,0,,2,,2,,,,,,,
1846-01-23,1846,1,23,,-6.7,,-18.3,,-12.5,,30.5,,0,,0,,0,,0,,,,,,,
1846-01-24,1846,1,24,,-5,,-14.4,,-9.7,,27.7,,0,,0,,0,,0,,,,,,,
1846-01-25,1846,1,25,,2.8,,-6.7,,-2,,20,,0,,0,,0,,0,,,,,,,
1846-01-26,1846,1,26,,6.7,,0,,3.4,,14.6,,0,,4.3,,0,,4.3,,,,,,,
1846-01-27,1846,1,27,,2.8,,-7.8,,-2.5,,20.5,,0,,2.5,,2.5,,5.1,,,,,,,
1846-01-28,1846,1,28,,0,,-8.9,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
1846-01-29,1846,1,29,,3.3,,0,,1.7,,16.3,,0,,0,,0,,0,,,,,,,
1846-01-30,1846,1,30,,3.3,,0.6,,2,,16,,0,,8.9,,0,,8.9,,,,,,,
1846-01-31,1846,1,31,,5.6,,-8.3,,-1.4,,19.4,,0,,5.8,,0,,5.8,,,,,,,
1846-02-01,1846,2,1,,-6.1,,-13.3,,-9.7,,27.7,,0,,0,,0.5,,0.5,,,,,,,
1846-02-02,1846,2,2,,-5.6,,-12.8,,-9.2,,27.2,,0,,0,,0,,0,,,,,,,
1846-02-03,1846,2,3,,0.6,,-5,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
1846-02-04,1846,2,4,,5.6,,-1.7,,2,,16,,0,,0,,0,,0,,,,,,,
1846-02-05,1846,2,5,,4.4,,-2.2,,1.1,,16.9,,0,,0,,0,,0,,,,,,,
1846-02-06,1846,2,6,,4.4,,-5,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
1846-02-07,1846,2,7,,3.9,,-4.4,,-0.3,,18.3,,0,,0,,0,,0,,,,,,,
1846-02-08,1846,2,8,,4.4,,-11.7,,-3.7,,21.7,,0,,0,,0,,0,,,,,,,
1846-02-09,1846,2,9,,-6.1,,-12.2,,-9.2,,27.2,,0,,0,,0,,0,,,,,,,
1846-02-10,1846,2,10,,-8.3,,-15.6,,-12,,30,,0,,0,,0,,0,,,,,,,
1846-02-11,1846,2,11,,-2.2,,-15,,-8.6,,26.6,,0,,0,,10.2,,10.2,,,,,,,
1846-02-12,1846,2,12,,-4.4,,-19.4,,-11.9,,29.9,,0,,0,,12.7,,12.7,,,,,,,
1846-02-13,1846,2,13,,-4.4,,-21.7,,-13.1,,31.1,,0,,0,,0,,0,,,,,,,
1846-02-14,1846,2,14,,1.7,,-10.6,,-4.5,,22.5,,0,,0,,0,,0,,,,,,,
1846-02-15,1846,2,15,,1.1,,-8.9,,-3.9,,21.9,,0,,0,,25.4,,25.4,,,,,,,
1846-02-16,1846,2,16,,-3.9,,-10.6,,-7.3,,25.3,,0,,0,,5.1,,5.1,,,,,,,
1846-02-17,1846,2,17,,-2.2,,-7.2,,-4.7,,22.7,,0,,0,,3.8,,3.8,,,,,,,
1846-02-18,1846,2,18,,-0.6,,-15.6,,-8.1,,26.1,,0,,0,,2.5,,2.5,,,,,,,
1846-02-19,1846,2,19,,-2.8,,-15,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
1846-02-20,1846,2,20,,-1.1,,-13.9,,-7.5,,25.5,,0,,0,,45.7,,45.7,,,,,,,
1846-02-21,1846,2,21,,-1.1,,-5,,-3.1,,21.1,,0,,0,,10.2,,10.2,,,,,,,
1846-02-22,1846,2,22,,1.1,,-10.6,,-4.8,,22.8,,0,,0,,0,,0,,,,,,,
1846-02-23,1846,2,23,,-2.8,,-10.6,,-6.7,,24.7,,0,,0,,0,,0,,,,,,,
1846-02-24,1846,2,24,,-2.8,,-12.2,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
1846-02-25,1846,2,25,,-6.1,,-17.8,,-12,,30,,0,,0,,0.5,,0.5,,,,,,,
1846-02-26,1846,2,26,,-7.8,,-24.4,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
1846-02-27,1846,2,27,,-11.7,,-26.7,,-19.2,,37.2,,0,,0,,0,,0,,,,,,,
1846-02-28,1846,2,28,,-7.8,,-27.2,,-17.5,,35.5,,0,,0,,0.5,,0.5,,,,,,,
1846-03-01,1846,3,1,,-6.1,,-11.7,,-8.9,,26.9,,0,,0,,0.5,,0.5,,,,,,,
1846-03-02,1846,3,2,,-6.1,,-12.2,,-9.2,,27.2,,0,,0,,0,,0,,,,,,,
1846-03-03,1846,3,3,,-2.8,,-13.3,,-8.1,,26.1,,0,,0,,0,,0,,,,,,,
1846-03-04,1846,3,4,,-1.1,,-12.8,,-7,,25,,0,,0,,0,,0,,,,,,,
1846-03-05,1846,3,5,,3.9,,-9.4,,-2.8,,20.8,,0,,0,,0,,0,,,,,,,
1846-03-06,1846,3,6,,6.7,,-2.8,,2,,16,,0,,0,,0.5,,0.5,,,,,,,
1846-03-07,1846,3,7,,-0.6,,-12.8,,-6.7,,24.7,,0,,0,,0,,0,,,,,,,
1846-03-08,1846,3,8,,-0.6,,-11.7,,-6.2,,24.2,,0,,0,,3.8,,3.8,,,,,,,
1846-03-09,1846,3,9,,7.8,,-5,,1.4,,16.6,,0,,0,,0,,0,,,,,,,
1846-03-10,1846,3,10,,3.3,,-2.2,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
1846-03-11,1846,3,11,,5,,-3.9,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
1846-03-12,1846,3,12,,5,,-3.9,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
1846-03-13,1846,3,13,,6.7,,0.6,,3.7,,14.3,,0,,5.8,,0,,5.8,,,,,,,
1846-03-14,1846,3,14,,7.2,,1.1,,4.2,,13.8,,0,,18,,0,,18,,,,,,,
1846-03-15,1846,3,15,,4.4,,-2.2,,1.1,,16.9,,0,,0,,0,T,0,T,,,,,,
1846-03-16,1846,3,16,,3.9,,-2.2,,0.9,,17.1,,0,,0,,0,T,0,T,,,,,,
1846-03-17,1846,3,17,,1.7,,-5,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
